YYMMDDHHMI(KST),STN(ID),TA(C),WD(deg),WS(m/s),RN_DAY(mm),RN_HR1(mm),HM(%),PA(hPa),PS(hPa)
201709251400,114,27.1,257.2,1.1,0.0,0.0,40.1,996.1,1012.8
201709251500,114,26.8,270.1,2.0,0.0,0.0,42.4,996.2,1013.0
201709251600,114,26.4,269.7,1.0,0.0,0.0,47.4,996.1,1012.9
201709251700,114,25.8,260.3,0.8,0.0,0.0,50.9,995.9,1012.7
201709251800,114,25.2,270.9,0.3,0.0,0.0,53.4,996.3,1013.2
201709251900,114,22.6,0.0,0.0,0.0,0.0,68.7,996.5,1013.5
201709252000,114,21.4,104.8,0.7,0.0,0.0,72.1,996.7,1013.8
201709252100,114,20.7,113.2,0.4,0.0,0.0,72.5,997.6,1014.8
201709252200,114,19.9,124.9,0.2,0.0,0.0,73.9,997.5,1014.8
201709252300,114,19.5,34.1,0.6,0.0,0.0,79.7,997.5,1014.6
201709260000,114,18.8,26.7,1.3,0.0,0.0,81.5,997.4,1014.6
201709260100,114,18.4,309.2,0.1,0.0,0.0,82.5,997.1,1014.3
201709260200,114,17.8,0.0,0.0,0.0,0.0,83.8,996.8,1014.1
201709260300,114,17.4,0.0,0.0,0.0,0.0,85.3,996.7,1014.0
201709260400,114,16.9,271.5,0.2,0.0,0.0,87.4,996.9,1014.3
201709260500,114,16.6,51.9,0.4,0.0,0.0,88.3,996.9,1014.3
201709260600,114,16.2,28.5,0.7,0.0,0.0,88.6,997.1,1014.6
201709260700,114,16.3,32.8,0.1,0.0,0.0,88.6,997.4,1014.9
201709260800,114,17.4,0.0,0.0,0.0,0.0,82.2,997.6,1014.9
201709260900,114,19.4,45.6,0.6,0.0,0.0,72.2,997.4,1014.5
201709261000,114,21.5,27.6,0.7,0.0,0.0,62.6,997.2,1014.3
201709261100,114,24.4,356.6,0.3,0.0,0.0,52.2,996.4,1013.2
201709261200,114,25.5,179.8,0.8,0.0,0.0,46.9,995.6,1012.5
201709261300,114,26.7,233.0,0.7,0.0,0.0,43.5,994.4,1011.1
201709261400,114,27.1,317.0,1.2,0.0,0.0,45.1,993.8,1010.5
201709261500,114,26.9,238.5,1.4,0.0,0.0,47.1,993.3,1010.0
201709261600,114,26.7,240.1,1.6,0.0,0.0,48.6,992.9,1009.6
201709261700,114,26.0,254.3,1.2,0.0,0.0,49.8,993.1,1009.9
201709261800,114,25.0,222.1,0.7,0.0,0.0,55.7,993.1,1010.0
201709261900,114,23.9,198.5,1.0,0.0,0.0,59.4,993.5,1010.3
201709262000,114,22.8,85.5,0.9,0.0,0.0,65.0,993.6,1010.5
201709262100,114,22.8,192.8,0.4,0.0,0.0,67.1,993.7,1010.6
201709262200,114,21.9,0.0,0.0,0.0,0.0,67.5,993.4,1010.4
201709262300,114,21.4,142.5,0.0,0.0,0.0,70.9,993.2,1010.2
201709270000,114,20.8,58.8,0.1,0.0,0.0,73.8,992.5,1009.6
201709270100,114,20.4,72.6,0.5,0.0,0.0,80.2,992.5,1009.6
201709270200,114,19.9,240.8,0.6,0.0,0.0,82.8,992.2,1009.4
201709270300,114,19.8,198.7,0.0,0.0,0.0,81.0,992.2,1009.4
201709270400,114,19.6,90.8,1.0,0.0,0.0,84.0,991.9,1008.9
201709270500,114,18.9,255.8,0.3,0.0,0.0,80.1,991.7,1008.8
201709270600,114,18.2,152.3,0.3,0.5,0.5,83.3,991.6,1008.8
201709270700,114,17.8,112.8,0.2,0.7,0.2,79.0,991.2,1008.4
201709270800,114,17.7,212.7,0.6,0.7,0.0,79.5,991.1,1008.3
201709270900,114,17.9,270.6,0.7,0.7,0.0,80.0,991.5,1008.7
201709271000,114,18.8,169.3,0.3,0.7,0.0,78.5,991.0,1008.1
201709271100,114,19.4,355.6,1.0,0.9,0.2,75.9,990.6,1007.6
201709271200,114,19.7,51.6,1.1,0.9,0.0,77.2,989.5,1006.6
